KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
28;6077042002;0;Whiskas Tas.Mix Chefs Choice Sauce12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;2;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6077052009;6;Whiskas Tasty Mix Count.Coll.Sauce12x85g;4 PA;72;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;;240;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6115115000;0;Whiskas Mix 5f.60x12x85g 1/4CH;60 ST;4;2,747;3;2;3,582;4,99;41;4,89;40;4,79;39;L;EK;240;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6115115000;;Whiskas Pure Delight Geflügel 12x85g;12 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6115115000;;Whiskas MP Junior Kl.Auswahl Sauce12x85g;8 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6115115000;;Whiskas Gemischte Auswahl 12x85g;12 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6115115000;;Whiskas Tasty Mix Count.Coll.Sauce12x85g;12 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;6115115000;;Whiskas Klassische Auswahl 12x85g;16 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Tiernahrung+Pflanzen;
28;135129005;2;Echt.Nordh.R.Ernte Williamsbirne30% 0,5l;6 FL;136;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;;;Wochenend-Knaller;2;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;442892001;2;Echt.Nordh.R.Ernte Himbeere 30% 0,5l;6 FL;136;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;EK;;Wochenend-Knaller;1;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;2391977000;4;Echt.Nord.Rei.Ernte Mirabelle 30%0,5l;6 FL;136;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;;;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;2560392009;2;Echt.Nordh.Reiche Ernte Haseln.30% 0,5l;6 FL;136;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;;;Wochenend-Knaller;2;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;2906250008;6;Echt.Nordh.RE Apfel-Birne 30% 0,5l;6 FL;136;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;EK;;Wochenend-Knaller;1;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;3822530007;4;Echt.Nordh.Reiche Ernte Marille 30% 0,5l;6 FL;136;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;;;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;4878224001;0;Echt.Nordh.RE Sauerkirsche 30% 0,5l;6 FL;136;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;;;Wochenend-Knaller;2;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;5464541001;8;Echt.Nordh.Reiche Ernte 5f.72x0,5l DP;72 ST;4;4,117;5;2;5,299;8,49;42;7,99;39;7,79;37;L;EK;;Wochenend-Knaller;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
